id,name,brand,price,dept,description
534,R&B Music,Amazon Music,10,15,"R&B Music is a genre of popular music that originated in African American communities in the 1940s. It combines elements of soul, funk, jazz, hip hop and pop music. Its main characteristics are its strong beat, its use of vocal harmonies, and its reliance on improvisation. It has become a popular genre for both mainstream and underground audiences. R&B Music is known for its emotive and soulful sound, and its ability to explore complex topics and emotions."
535,Metal Music,Amazon Music,9.99,15,"Metal Music is an exciting genre of music that combines elements of rock, metal, and punk to create a unique and powerful sound. It features intense and aggressive guitar riffs and pounding drums, along with screaming vocals. Metal Music has a unique sound and is a favorite amongst many music fans."
536,Rap Music,Amazon Music,9.99,15,"Rap Music is a genre of popular music that originated in African American communities in the United States in the late 1970s. It is characterized by a rhythmic vocal delivery, often with a heavy use of slang, rhyme and complex lyrical content. It often features samples from other genres and styles of music, especially funk and soul. Rap has been a major influence on popular culture since the early 1990s, and has been the subject of much debate, criticism and praise."
537,K-Pop Music,Amazon Music,9.99,15,"K-Pop Music is an exciting and upbeat collection of South Korean pop music. Featuring some of the hottest songs from the top Korean artists, this compilation of K-Pop hits will have you singing and dancing along in no time! With its catchy beats, infectious melodies, and lively choreography, K-Pop Music is sure to be a hit with fans of all ages. Enjoy the latest and greatest K-Pop hits in the comfort of your own home and let the music take you away!"
538,Jack in the Box,Jack in the Box,4.99,4,"Jack in the Box is a fast-food restaurant chain founded in 1951. It specializes in burgers, tacos, and other American fast-food favorites. The menu features a variety of options including the famous Jumbo Jack burger, tacos, chicken sandwiches, and a selection of sides like French fries, onion rings, and shakes. Jack in the Box restaurants offer a convenient, affordable dining option for customers on the go."
539,Braclet Kit,Sorrelli,58,26,"This Braclet Kit contains all the essential supplies you need to create your own stylish and unique bracelet. The kit includes different colored threads, charms, beads, and a clasp so you can easily assemble your own bracelet. With the included instructions, you can make a personalized bracelet that expresses your own creativity and style."
540,Blender,Oster,19.99,20,"The Blender is a powerful kitchen appliance that can be used to blend, mix, and emulsify a variety of ingredients. It is perfect for making smoothies, milkshakes, soups, sauces, dips, and more. It has a powerful motor and blades to quickly and easily blend ingredients. It also has a variety of settings to choose from to make sure that the blend is perfect every time."
541,Food Processer,Cuisinart,100,20,"The Food Processor is a powerful kitchen appliance that simplifies food preparation. It features a variety of attachments that allow it to chop, slice, grate, mix and blend ingredients quickly and easily. It is ideal for making homemade sauces, dips, soups, salsa and more. With its powerful motor and sharp blades, it saves time and effort while delivering consistent results. It is also easy to clean and maintain, making it a great addition to any kitchen."
542,Wet Mop,Swiffer Wet Mop,12.99,20,"This Wet Mop is designed to make cleaning easy. Its sturdy construction ensures it can tackle tough messes with ease, while its microfiber head ensures it picks up dirt and dust easily. Its telescopic handle can be adjusted to suit any height or reach, making it great for any job. The mop head is removable, making it easy to clean and maintain. Its lightweight design makes it easy to maneuver and use."
543,Duster,Duster,19.99,20,"The Duster is a lightweight and durable cleaning tool that is ideal for cleaning hard-to-reach areas. It features a flexible head and an adjustable handle for easy maneuvering, and its soft bristles are designed to effectively collect dust and dirt from surfaces. It is perfect for cleaning furniture, window frames, and other tight spaces and can be used both indoors and outdoors."
544,Wreath,Balsam Hill,129,21,"This beautiful wreath is the perfect way to decorate your home for any occasion. Handcrafted with lush foliage, bright blooms and delicate accents, this wreath will bring a cheerful and inviting atmosphere to your home. Perfect for seasonal door décor, or any time of year, this wreath is sure to be a stunning statement piece."
